external_id,first_name,last_name,full_name,display_name,short_name,team_id
4045701,Timmy,Horne,Timmy Horne,Timmy Horne,T. Horne,10
4431147,Cam,Horsley,Cam Horsley,Cam Horsley,C. Horsley,10
4429097,Curtis,Jacobs,Curtis Jacobs,Curtis Jacobs,C. Jacobs,10
4567529,Gabe,Jeudy-Lally,Gabe Jeudy-Lally,Gabe Jeudy-Lally,G. Jeudy-Lally,10
3915525,Dre'Mont,Jones,Dre'Mont Jones,Dre'Mont Jones,D. Jones,10
3047495,Sebastian,Joseph-Day,Sebastian Joseph-Day,Sebastian Joseph-Day,S. Joseph-Day,10
3843843,Arden,Key,Arden Key,Arden Key,A. Key,10
4430819,Jalen,Kimber,Jalen Kimber,Jalen Kimber,J. Kimber,10
4368468,Titus,Leo,Titus Leo,Titus Leo,T. Leo,10
4431226,Clarence,Lewis,Clarence Lewis,Clarence Lewis,C. Lewis,10
4259181,James,Lynch,James Lynch,James Lynch,J. Lynch,10
4371973,Roger,McCreary,Roger McCreary,Roger McCreary,R. McCreary,10
4686830,Devonte,O'Malley,Devonte O'Malley,Devonte O'Malley,D. O'Malley,10
4876057,Oluwafemi,Oladejo,Oluwafemi Oladejo,Oluwafemi Oladejo,O. Oladejo,10
4567535,Anfernee,Orji,Anfernee Orji,Anfernee Orji,A. Orji,10
3116175,Amani,Oruwariye,Amani Oruwariye,Amani Oruwariye,A. Oruwariye,10
4428223,Mark,Perry,Mark Perry,Mark Perry,M. Perry,10
4431345,Isaiah,Raikes,Isaiah Raikes,Isaiah Raikes,I. Raikes,10
4379411,Otis,Reese IV,Otis Reese IV,Otis Reese IV,O. Reese IV,10
4570888,Davion,Ross,Davion Ross,Davion Ross,D. Ross,10
4035369,Jeffery,Simmons,Jeffery Simmons,Jeffery Simmons,J. Simmons,10
4040432,L'Jarius,Sneed,L'Jarius Sneed,L'Jarius Sneed,L. Sneed,10
