external_id,season,matchup
1991026020,1969,NE @ NYJ
1991026021,1969,NO @ PHI
1991026023,1969,WSH @ PIT
1991026024,1969,OAK @ SD
1991027006,1969,NYG @ DAL
1991101025,1969,GB @ SF
1991102001,1969,LAR @ ATL
1991102002,1969,KC @ BUF
1991102004,1969,OAK @ CIN
1991102005,1969,DAL @ CLE
1991102007,1969,SD @ DEN
1991102150,1969,WSH @ IND
1991102016,1969,CHI @ MIN
1991102017,1969,TEN @ NE
1991102019,1969,PHI @ NYG
1991102020,1969,MIA @ NYJ
1991102022,1969,NO @ ARI
1991102023,1969,GB @ PIT
1991102025,1969,DET @ SF
1991109003,1969,PIT @ CHI
1991109006,1969,NO @ DAL
1991109008,1969,ATL @ DET
1991109009,1969,IND @ GB
1991109010,1969,CIN @ TEN
1991109150,1969,GB @ IND
1991109012,1969,SD @ KC
1991109013,1969,DEN @ OAK
1991109014,1969,SF @ LAR
1991109016,1969,CLE @ MIN
1991109017,1969,MIA @ NE
1991109020,1969,BUF @ NYJ
1991109022,1969,NYG @ ARI
1991109023,1969,GB @ PIT
1991109028,1969,PHI @ WSH
1991115009,1969,CHI @ GB
1991116001,1969,CHI @ ATL
1991116002,1969,MIA @ BUF
1991116004,1969,NE @ CIN
1991116007,1969,TEN @ DEN
1991116008,1969,ARI @ DET
1991116009,1969,MIN @ GB
1991116013,1969,SD @ OAK
1991116019,1969,NO @ NYG
1991116020,1969,KC @ NYJ
1991116021,1969,LAR @ PHI
1991116023,1969,CIN @ PIT
1991116025,1969,PIT @ SF
1991116028,1969,DAL @ WSH
1991122016,1969,GB @ MIN
1991123003,1969,IND @ CHI
1991123005,1969,NYG @ CLE
1991123009,1969,DET @ GB
1991123012,1969,OAK @ KC
1991123014,1969,DAL @ LAR
1991123015,1969,TEN @ MIA
1991123016,1969,PIT @ MIN
1991123017,1969,BUF @ NE
1991123018,1969,SF @ NO
1991123020,1969,CIN @ NYJ
1991123022,1969,PHI @ ARI
1991123024,1969,DEN @ SD
1991123028,1969,ATL @ WSH
1991126006,1969,GB @ DAL
1991127006,1969,SF @ DAL
1991127008,1969,MIN @ DET
1991127010,1969,SD @ TEN
1991127012,1969,DEN @ KC
1991130002,1969,CIN @ BUF
1991130003,1969,CLE @ CHI
1991130009,1969,NYG @ GB
1991130150,1969,ATL @ IND
1991130015,1969,NE @ MIA
1991130017,1969,MIA @ NE
1991130018,1969,PHI @ NO
1991130020,1969,OAK @ NYJ
1991130022,1969,PIT @ ARI
1991130023,1969,ATL @ PIT
1991130028,1969,LAR @ WSH
1991206010,1969,NYG @ TEN
1991206023,1969,GB @ PIT
1991206025,1969,CHI @ SF
1991207001,1969,NO @ ATL
1991207005,1969,GB @ CLE
1991207150,1969,DET @ IND
1991207012,1969,BUF @ KC
1991207013,1969,CIN @ OAK
1991207014,1969,MIN @ LAR
1991207015,1969,DEN @ MIA
1991207019,1969,ARI @ NYG
1991207021,1969,WSH @ PHI
1991207023,1969,DAL @ PIT
1991207024,1969,NE @ SD
1991213003,1969,GB @ CHI
1991213006,1969,PIT @ DAL
1991213013,1969,KC @ OAK
1991214003,1969,GB @ CHI
1991214007,1969,CIN @ DEN
1991214008,1969,LAR @ DET
1991214010,1969,NE @ TEN
1991214015,1969,NYJ @ MIA
1991214016,1969,SF @ MIN
1991214021,1969,ATL @ PHI
1991214022,1969,CLE @ ARI
1991214023,1969,NYG @ PIT
1991214024,1969,BUF @ SD
1991214028,1969,NO @ WSH
1991220008,1969,GB @ DET
1991220020,1969,KC @ NYJ
1991221001,1969,MIN @ ATL
1991221003,1969,DET @ CHI
1991221006,1969,WSH @ DAL
1991221009,1969,ARI @ GB
1991221013,1969,TEN @ OAK
1991221014,1969,PIT @ LAR
1991221018,1969,PIT @ NO
1991221019,1969,CLE @ NYG
1991221025,1969,PHI @ SF
1991227016,1969,LAR @ MIN
1991228006,1969,CLE @ DAL
2000104013,1970,KC @ OAK
2000104016,1970,CLE @ MIN
2000111012,1970,MIN @ KC
2000918014,1970,ARI @ LAR
2000919019,1970,CHI @ NYG
2000920002,1970,DEN @ BUF
2000920004,1970,OAK @ CIN
2000920009,1970,DET @ GB
2000920016,1970,KC @ MIN
2000920017,1970,MIA @ NE
2000920018,1970,ATL @ NO
2000920021,1970,DAL @ PHI
2000920023,1970,TEN @ PIT
2000920024,1970,PIT @ SD
2000920025,1970,WSH @ SF
401195563,1970,NYJ @ CLE
2000921005,1970,NYJ @ CLE
2000927002,1970,LAR @ BUF
2000927003,1970,PHI @ CHI
2000927006,1970,NYG @ DAL
2000927007,1970,PIT @ DEN
2000927008,1970,CIN @ DET
2000927009,1970,ATL @ GB
2000927010,1970,MIA @ TEN
2000927016,1970,NO @ MIN
2000927017,1970,NYJ @ NE
2000927022,1970,WSH @ ARI
2000927024,1970,OAK @ SD
2000927025,1970,CLE @ SF
401195523,1970,KC @ IND
2000928150,1970,KC @ IND
2000928023,1970,KC @ PIT
2001003004,1970,PIT @ CIN
2001003005,1970,PIT @ CLE
2001003015,1970,OAK @ MIA
2001004001,1970,SF @ ATL
2001004002,1970,NYJ @ BUF
2001004004,1970,TEN @ CIN
2001004007,1970,KC @ DEN
2001004009,1970,MIN @ GB
2001004014,1970,SD @ LAR
2001004017,1970,PIT @ NE
2001004018,1970,NYG @ NO
2001004021,1970,WSH @ PHI
2001004022,1970,DAL @ ARI
401195468,1970,CHI @ DET
2001005008,1970,CHI @ DET
2001010020,1970,MIA @ NYJ
2001011003,1970,MIN @ CHI
2001011005,1970,CIN @ CLE
2001011006,1970,ATL @ DAL
2001011010,1970,PIT @ TEN
2001011012,1970,NE @ KC
2001011013,1970,DEN @ OAK
2001011014,1970,SF @ LAR
2001011019,1970,PHI @ NYG
2001011022,1970,NO @ ARI
2001011023,1970,BUF @ PIT
2001011028,1970,DET @ WSH
401195411,1970,GB @ SD
2001012024,1970,GB @ SD
2001018002,1970,MIA @ BUF
2001018003,1970,SD @ CHI
2001018004,1970,KC @ CIN
2001018005,1970,DET @ CLE
2001018007,1970,ATL @ DEN
2001018009,1970,LAR @ GB
2001018010,1970,PIT @ TEN
2001018016,1970,DAL @ MIN
2001018017,1970,NYG @ NE
2001018020,1970,PIT @ NYJ
2001018021,1970,ARI @ PHI
2001018025,1970,NO @ SF
401195369,1970,WSH @ OAK
2001019013,1970,WSH @ OAK
2001025001,1970,NO @ ATL
2001025003,1970,DET @ CHI
2001025150,1970,NE @ IND
2001025012,1970,DAL @ KC
2001025013,1970,PIT @ OAK
2001025015,1970,CLE @ MIA
2001025019,1970,ARI @ NYG
2001025020,1970,BUF @ NYJ
2001025023,1970,NE @ PIT
2001025024,1970,TEN @ SD
2001025025,1970,DEN @ SF
2001025028,1970,CIN @ WSH
401195633,1970,LAR @ MIN
2001026016,1970,LAR @ MIN
2001101001,1970,CHI @ ATL
2001101005,1970,SD @ CLE
2001101006,1970,PHI @ DAL
2001101007,1970,WSH @ DEN
2001101008,1970,MIN @ DET
2001101150,1970,MIA @ IND
2001101012,1970,OAK @ KC
2001101017,1970,BUF @ NE
2001101018,1970,LAR @ NO
2001101020,1970,NYG @ NYJ
2001101022,1970,TEN @ ARI
2001101023,1970,MIA @ PIT
2001101025,1970,GB @ SF
401195578,1970,CIN @ PIT
2001102023,1970,CIN @ PIT
2001108002,1970,CIN @ BUF
2001108003,1970,SF @ CHI
2001108012,1970,TEN @ KC
2001108013,1970,CLE @ OAK
2001108014,1970,ATL @ LAR
2001108018,1970,DET @ NO
2001108019,1970,DAL @ NYG
2001108021,1970,MIA @ PHI
2001108022,1970,NE @ ARI
2001108023,1970,NYJ @ PIT
2001108024,1970,DEN @ SD
2001108028,1970,MIN @ WSH
401195537,1970,IND @ GB
2001109009,1970,PIT @ GB
2001115004,1970,CLE @ CIN
2001115007,1970,OAK @ DEN
2001115009,1970,CHI @ GB
2001115010,1970,SF @ TEN
2001115150,1970,BUF @ IND
2001115014,1970,NYJ @ LAR
2001115015,1970,NO @ MIA
2001115016,1970,DET @ MIN
2001115017,1970,SD @ NE
2001115019,1970,WSH @ NYG
2001115021,1970,ATL @ PHI
2001115023,1970,BUF @ PIT
401195482,1970,ARI @ DAL
2001116006,1970,ARI @ DAL
2001122001,1970,LAR @ ATL
2001122003,1970,BUF @ CHI
2001122004,1970,PIT @ CIN
2001122005,1970,TEN @ CLE
2001122008,1970,SF @ DET
2001122012,1970,ARI @ KC
2001122013,1970,SD @ OAK
2001122015,1970,PIT @ MIA
2001122016,1970,GB @ MIN
2001122018,1970,DEN @ NO
2001122020,1970,NE @ NYJ
2001122028,1970,DAL @ WSH
401195426,1970,NYG @ PHI
2001123021,1970,NYG @ PHI
2001126006,1970,GB @ DAL
2001126008,1970,OAK @ DET
2001128012,1970,SD @ KC
2001129002,1970,NE @ BUF
2001129004,1970,NO @ CIN
2001129010,1970,DAL @ TEN
2001129033,1970,CHI @ IND
2001129012,1970,SD @ KC
2001129020,1970,MIN @ NYJ
2001129022,1970,PHI @ ARI
2001129023,1970,CIN @ PIT
2001129025,1970,LAR @ SF
2001129028,1970,NYG @ WSH
401195384,1970,MIA @ ATL
2001130001,1970,MIA @ ATL
2001205016,1970,CHI @ MIN
2001206006,1970,WSH @ DAL
2001206008,1970,ARI @ DET
2001206150,1970,PHI @ IND
2001206012,1970,DEN @ KC
2001206014,1970,NO @ LAR
2001206015,1970,NE @ MIA
2001206019,1970,BUF @ NYG
2001206020,1970,OAK @ NYJ
2001206023,1970,GB @ PIT
2001206024,1970,CIN @ SD
2001206025,1970,ATL @ SF
401195627,1970,CLE @ TEN
2001207010,1970,CLE @ TEN
2001212005,1970,DAL @ CLE
2001212013,1970,KC @ OAK
2001213001,1970,PIT @ ATL
2001213002,1970,PIT @ BUF
2001213003,1970,GB @ CHI
2001213007,1970,SD @ DEN
2001213010,1970,CIN @ TEN
2001213015,1970,NYJ @ MIA
2001213017,1970,MIN @ NE
2001213018,1970,SF @ NO
2001213022,1970,NYG @ ARI
2001213028,1970,PHI @ WSH
401195571,1970,DET @ LAR
2001214014,1970,DET @ LAR
2001219150,1970,NYJ @ IND
2001219023,1970,NYJ @ PIT
2001220001,1970,MIN @ ATL
2001220004,1970,NE @ CIN
2001220006,1970,TEN @ DAL
2001220007,1970,CLE @ DEN
2001220008,1970,GB @ DET
2001220013,1970,SF @ OAK
2001220015,1970,BUF @ MIA
2001220018,1970,CHI @ NO
2001220019,1970,LAR @ NYG
2001220021,1970,PIT @ PHI
2001220024,1970,KC @ SD
2001220028,1970,ARI @ WSH
2001226006,1970,DET @ DAL
2001226033,1970,CIN @ IND
2001227013,1970,MIA @ OAK
2001227016,1970,SF @ MIN
2010103025,1971,DAL @ SF
2010117006,1971,IND @ DAL
2010128004,1971,SD @ CIN
2010131033,1971,OAK @ IND
2010909005,1971,TEN @ CLE
2010917005,1971,GB @ CLE
2010919001,1971,SF @ ATL
2010919002,1971,DAL @ BUF
2010919003,1971,PIT @ CHI
2010919004,1971,PHI @ CIN
2010919005,1971,TEN @ CLE
2010919007,1971,MIA @ DEN
2010919009,1971,NYG @ GB
2010919150,1971,NYJ @ IND
2010919017,1971,OAK @ NE
2010919018,1971,LAR @ NO
